"Sentiment","TweetText"
"irrelevant","Bonjour #twitter   reveil trés difficile pour ma part.. !"
"irrelevant","Aparece nuevo video del Galaxy Nexus http://t.co/mhOcZuIm #android #google #androidve #tecnologia #vendroid #usoandroid"
"negative","I'm wit chu!! “@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my time!�?"
"irrelevant","#FailSteveJobs #Microsoft โดย ARIP ฮาๆ มีสับสนนิดโหน่ย XD cc @failinth =P http://t.co/zPzNMwVe"
"irrelevant","Etre influent sur #Twitter: publication de contenus qui engagent à l'action. http://t.co/H2qmDwpP EN via @jeffbullas"
"neutral","#Google and #Samsung unveil #Galaxy #Nexus  #Android 4 at event: http://t.co/oTqfW9XQ | #CTIA #Hong #Kong #conference #environments"
"neutral","#Microsoft We support you. Retweet if u support us or want to."
"irrelevant","que tengas #twitter no significa que sabes que es #tweetear xD"
"irrelevant","Parabens #google gostei bastante do novo Android #android"
"irrelevant","#Osea jajaja me entero que ahora en el #Twitter se blokea gente mis supuestros primos me blokearon #Lol"
"neutral","#Pearson and #Google take advantage of the profound lack of LMS PD with their new offering http://t.co/4RsRDU4G Also do not do reporting"
"irrelevant","Por cierto @Apple  me sigue gustando mas MobileMe que iCloud. La sincronización de mis ordenadores  la gestión de carpetas... nada que ver."
"negative","Having major battery drain issue since updating iPhone 4 to iOS 5.  Anyone else? @AppStore @iPhone @apple"
"neutral","Shout ou to all my followers! #TWitTER"
"positive","#android 4.0!!  Ice Cream Sandwich will now make all other smartphone operating systems look outdated.  #Androidbeam Wowww..  #google"
"irrelevant","#Techno :  #Microsoft lanza sitio oficial de #Skype http://t.co/ynJoTWPI"
"irrelevant","#twitter sos un vicioooooo"
"positive","brilliant WebGL Bookcase #google http://t.co/CR3A6k9U"
"irrelevant","querida @apple  até quando o steve vai ficar na sua pagina inicial?"
"negative","@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise… why doesn't it just auto-authorise it when I sign into iTunes? Grrrr..."
"positive","@jowyang it's difficult to pass up #google+ considering the social seo benefits of google+ vs facebook"
"neutral","@coatgal had a really interestng experience up in the @Apple store though  Paul was with me up there  faulty #iphone4 - but out of warranty"
"negative","@MsTapoutBarbie Yep figured my shit is jacked. Dammit #Twitter!!"
"neutral","Get #Microsoft #http://t.co/TMUrucvW certified now!! http://t.co/3Qr7XoCy"
"irrelevant","mm por q casi nadie sabe utilizar #TWITTER??"
"negative","Dear @Apple: You must let me turn off iCloud to save bandwidth and NOT delete EVERY document on my iPad. That's BULLSHIT!"
"neutral","Why @Apple so valuable  good analysis of trended profits  iOS vs. Microsoft: Comparing the bottom lines  http://t.co/k9qst4R4 via @asymco"
"irrelevant","#Microsoft dirà che #Google ha usato il brevetto dell'animazione del cerchio?! | Google Presentations New Version http://t.co/vmzshHUQ"
"irrelevant","#Microsoft  hat den Prototyp ihres OmniTouch vorgestellt. Dieser macht fast jede Oberfläche zum Touchscreen. http://t.co/5370kR8v"
"neutral","Sucks that I just threw down $3 for a panorama app when #ICS will have it as standard. Oh #Google  you pleasant bastards  you!"
"neutral","Update : Google Officially calls Android Ice Cream Sandwich  Shouts Android 4.0 http://t.co/zzRuwrSk  #google #ics #android4"
"irrelevant","Android 4.0 Ice Cream Sandwich ya es oficial http://t.co/uZ7qqU1J #android #google #androidve #tecnologia #vendroid #usoandroid"
"irrelevant","pensando seriamente em excluir meu #twitter"
"neutral","RT @GP_Jman852: Hello New Followers! Reminder: 1000 followers = a 4000 #Microsoft point #Giveaway! #Xbox360 #XBL #XBLA #MW3 #COD RETWEET!"
"irrelevant","Bij #Microsoft zijn ze echt niet goed snik  ik was blij dat mijn mobiel gejat werd omdat er windows op zat..  #jaloezie http://t.co/fd0THHCv"
"irrelevant","Google Apps Coming To Google+ ‘Within Days’; Company Taking A ‘Cautious Approach’ To APIs http://t.co/1rgAI0RH #twitter"
"negative","@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound."
"irrelevant","@diegomendesr_  popularizar o  #twitter ?? Tipo ter seguidores é isso???"
"neutral","Introducing Android 4.0  Ice Cream SandwichIntroducing Android 4.0  Ice Cream Sandwich http://t.co/L4Hqkv0c #Google #Android"
"negative","Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat"
"positive","@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!"
"neutral","#Samsung Galaxy #Nexus hands-on (#video) http://t.co/w4muSKEm #android #galaxynexus #galaxynexus #google"
"neutral","@AndroidPolice Duly noted -- I hope AOSP is updated with ICS 4.0. #Android #Google"
"neutral","Can someone explain to me how the hell iMessage differs from a text message? @Apple #fb"
"irrelevant","@maffkilleritta #twitter se puso de nena y no me dejaba contestar"
"negative","#Twitter = #Dead this is why im never on it now"
"neutral","SpeechTrans http://t.co/TW3SzX61 on @Apple App store listed as the #best bi-directional #Speech To Speech #Translator - Posts on Twitter"
"negative","Wow  worst @apple customer service experience ever. Arrogant and inept. Bad combo  Biltmore Apple store."
"positive","Mango shows #Microsoft still has the taste for smartphone success http://t.co/AFm8VSMm  #wp7 #mango"
"irrelevant","Hé bien c'était cool d'attendre pour voir la conférence :-)  j'ai envie du #nexus #prime de #google mnt  et jouer avec #ICM #android 4.0"
"neutral","Reporting in #Microsoft Dynamics #AX2012 http://t.co/Q4oClJfS"
"negative","What's wrong with Siri today @apple"
"neutral","Build once  scale to many: #Microsoft allows creators to extend experiences to multiple touchpoints like xBox  Windows Mobile. #ULforthewin"
"neutral","I wanna make the goose bump on your inner thigh show 
"irrelevant","Tipp: kostenlose SEO-Infos  http://t.co/1ayEKV6F #google"
"irrelevant","#Google Phil Hellmuth and Sam Farha – poker fight: http://t.co/vwaiQDlT – Cost-free Poker University with... http://t.co/F9A0NJnX #wikileaks"
"neutral","#SEO tip:in multilang sites create folders for each lang.submit the urls in #google #webmaster tools+Use GeographicTarget"
"neutral","Siri says some weird things | This is my next... http://t.co/H8n7caSg via @verge @hasanga @mohoisham @apple #Siri #LMFAO"
"irrelevant","#Microsoft: Una pantalla táctil al alcance de tu mano. http://t.co/kUAfBenM"
"neutral","RT @tiffanyk: [#Infographic] #Google+ cost half a billion to build  driving users to #1 most followed user: Mark Zuckerberg. http://t.co ..."
"irrelevant","#Bill_Gates llamado a declarar por un antiguo caso de monopolio contra #Microsoft http://t.co/DZ9ZqCgX"
"neutral","#Google ##Mobile Boss Andy Rubin on #Apple  #Microsoft and #Tablets http://t.co/rSnSG5nt #techgadgets #android"
"irrelevant","Fine tune your #SEO strategy with the #Google Panda 2.5.2 update. Find out how it can affect your business rankings http://t.co/TeRUK0bp"
"neutral","#Microsoft excludes tablets from its holiday advertising #push: Fresh details of Microsoft’s… http://t.co/SXFPd9Xj"
"neutral","Annie: has just had a look at our downloaded #Windows8 op sys.  Where #AppleMacs go  #Microsoft follows!!"
"neutral","The Great Tech War Of 2012 : http://t.co/RbEvrtfz #Tech #Mobile #2012 #Wireless #Apple #Google #Microsoft"
"neutral","RT @KumarSachi: Another Gem from #Microsoft - Curate your personal history with  Project Greenwich.  Available later this month. http: ..."
"neutral","How #Google Ventures Chooses Which Startups Get Its $200 Million http://t.co/FCWXoUd8 via @mashbusiness @mashable"
"negative","@Apple #iOS5 gm on ipad1 is very slow wash better on beta7/8 solve this problem  or give me the ipad2"
"neutral","By 4:30pm: For E-Commerce Times  Erika Morphy seeks experts re: #Microsoft Playful Learning: pros/cons for kids: http://t.co/WPO9l63f"
"irrelevant","@NahuN_Robles jajaja fregues de #TWITTER x'D"
"neutral","#Google To Begin #Encrypting Searches & Outbound Clicks By Default With SSL Search - http://t.co/vc573Pte"
"irrelevant","@jessnovelo el #twitter? Jajaja"
"positive","Hello #twitter!"
"neutral","Quit acting all hard. It's only #twitter"
"irrelevant","Der langsame Tod von SEO?? #Google -Suche  für eingeloggte User verschlüsselt - http://t.co/czsosVGp #socialmedia #marketing  #search #seo"
"irrelevant","Use o Twitter Profissionalmente! ~ Dicas E-Commerce e Renda Extra!: http://t.co/k6yAfacy #Twitter #Blog #Ecommerce #Brasil #Marketing"
"neutral","#Microsoft Announces New “Playful Learning�? Titles - Wired News : http://t.co/nN8oietT #av"
"irrelevant","De acuerdo a la encuesta hecha por mi la mayoría de mis amigos de #Facebook no saben utilizar #twitter xD #QueMensos"
"irrelevant","Newt Gingrich: #NewtGingrich  #Newt #Gingrich http://t.co/bZQS2pV3 #google #youtube"
"irrelevant","Le #GalaxyNexus fait bien envie... Mais bizarrement ça me gêne qu'il y soit marqué #Google au dos."
"negative","@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk.  Any plans for a new service for storage?"
"neutral","#Microsoft CEO Looks Ahead at Social and Mobile Plans http://t.co/wYmFplCs #marketing"
"neutral","@jpobrien11 or windows bridge for windows phones and don't try and pretend apple didn't steal the notification bar from #google #droidtweets"
"neutral","This coming from a guy who is #Microsoft PC  Mug  pen  everything RT @GiuseppePietta: @1Ngare both fail phones.windows phone 7 to the rescue"
"neutral","And my favorite  is @danielltosh gay? #Google #autocomplete"
"irrelevant","Descuentos y offertas para applicaciones de @apple http://t.co/8VNd57qk #mobil"
"positive","Can't wait for Ice Cream Sandwich. http://t.co/RtDzjq2U #android #google"
"neutral","http://t.co/cBCEFILN - Many-To-Many Control for #Microsoft #LightSwitch"
"positive","RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple"
"positive","RT @Assim99: Dear #Google  I want the Galaxy Nexus NOW. Please send it to me by email or something - I know you have the technology"
"irrelevant","RT @alisalam1990: البايو �?ي تويتر مثل عناوين المنازل لا تكش�? عن صاحبها إلا إذا دخلت التايم لاين ، �?إما تجد تطابق أو كأنك دخلت بيت عنوانه ..."
"irrelevant","Microsoft-CEO verspricht schöne Windows-Phone-Geräte: Apple sei erfolgreich  weil schöne Smartphones ... http://t.co/I26cnxh8 #microsoft"
"irrelevant","Intégration de la reconnaissance vocale #google #nexusprime"
"irrelevant","@julioeffio: @chriseffio yo juraba que te habian hackeado el #Twitter ...TODO fue tan #minipandi @julioeffio love u! ♥"
"neutral","#Infosys kicks off its #cloud drive with #Microsoft partnership"
"neutral","RT @extremejohn Stuck on Facebook? I’m so sorry.  http://t.co/JcJBfZ8W #Twitter #Google  #Facebook"
"irrelevant","Un vistazo a Windows Server 8 http://t.co/BmcJLgDV #Microsoft"
"irrelevant","看見 #Android 4.0 �?�?� #NFC 加入的 Android #Beam 功能，令我想起�??年�?使用 #Palm 經常跟朋�?� Beam 交�?�資料的日�?。#Google #Samsung #Galaxy #Nexus"
"neutral","#Google To Begin Encrypting Searches & Outbound Clicks By Default With SSL Search http://t.co/xW7vh75e"
"neutral","Isn't this a little too much?
"neutral","How I manage my businesses/life: @pivotaltracker  @37signals  @twitter  @googleapps  @apple  @dropbox  @wordpress  @dreamhost THX"
"neutral","@apple no Siri support for Canada sucks #Siri but loving the new iPhone upgrade from my 3GS #iphone4s"
"negative","@apple $319 to repair my iPad 2  Apple you've lost me and my $700 a year  Android here I come!"
"irrelevant","@iley_little we'lll figure it out tm in gym #google"
"irrelevant","Mi pasatiempo favorito hoy en día  es como ver hay personas bipolares  tanto en #Twitter como en la vida real..."
"neutral","You are welcome to join our LIVE free webinar right now. It's about #Citrix monitoring through #Microsoft #SCOM: http://t.co/Sr7pIP9B"
"positive","RT @eboyee: Dostupan SDK - WOW R.E.S.P.E.C.T. #Google #IceCreamSandwich"
"irrelevant","RT @rianru: #Google пред�?тавит новую вер�?ию #Android 4.0 http://t.co/mf8XE5Aw"
"neutral","#Win an @Apple iPod Touch from @Mommy_gaga  get the @Pampers Hello World Baby Memories App! http://t.co/AAP7StHt #PampersHelloApps"
"negative","@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt"
"irrelevant","o @jcsantos22f1 sumiuuuuuuuuuuuuuuu D  #TWITTER kkkkkk + apareceu n msn... saudadeeees"
"irrelevant","@LuceroMexico  Ja lu! chiste! en qe se parese papa pitufo al #twitter???
"positive","twitter just helped me find the song from the end of a TV show i just watched. #Twitter &gt; ..."
"irrelevant","Démo  création d'un cluster par @GaelDuhamel #VAD #Microsoft #VisualStudio #DataMining http://t.co/M5eqlqUA"
"positive","Just registered as an @apple developer... Here's hoping I can actually do it... Any help  greatly appreciated!"
"neutral","#Win an @Apple iPod Touch from @Mommy_gaga  get the @Pampers Hello World Baby Memories App! http://t.co/fnbKNwmj #PampersHelloApps Ends10/21"
"neutral","Microsoft CEO Steve Ballmer confirms Nokia Windows Phone devices due next week http://t.co/rDTzumtZ #Microsoft #Nokia"
"neutral","@JenWeedin listen here  @ShaunaWalters8 is new to #twitter and needs practice.  support her here brat!  #goodsamaritanswag"
"irrelevant","@maffer_rdz si de heco igual a mi ya casi no me gusa de hecho siempre lo primero qe habro es #Twitter es mas facil qe me contacten aqi jeje"
"irrelevant","#Publicidad Galaxy Nexus es la próxima generación de dispositivos Nexus co-desarrollado por #Samsung y #Google l http://t.co/yVWrw98h"
"irrelevant","Jetzt gerade angeschaut und +1t  #adwords #guide #google #adwords #guide http://t.co/S87lNq2u"
"negative","What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable."
"irrelevant","Tenia qe comentar en #Twitter el concierto de caifanes poca modre yeah!!!!!"
"irrelevant","@lorenbsas @telerinonline @VeroTurismo @elisafn @arielmun @matchpoint20 ah si! ya es hora  pero #Twitter me tienta tanto! me encanta!"
"positive","Maybe not the most efficient way to browse  but fun: #Google releases an Infinite Digital Bookcase http://t.co/X1qzeX7f by @MeghanKel"
"irrelevant","A espera acabou. #Samsung  parceria com o #Google  o novo GalaxyNexus nesta terça-feira (19) em HongKong. O  Android 4.0 Ice Cream Sandwich"
"neutral","now watching live stream of  #Google new mobile #Nexus"
"neutral","#Microsoft #Cloud GSA Loses $2.5 Billion Cloud Contract Fight: Google recently dropped a case against the D... http://t.co/cObJRw66 #TCN"
"irrelevant","قال الرئيس التن�?يذي لشركة #Microsoft ستي�? بالمر اليوم �?ي مؤتمر Web 2.0 ان اجهزة الأندرويد اجهزه ممله واضا�? 
"neutral","This New Microsoft Technology Turns Anything Into A Touchscreen (MSFT) http://t.co/Qcih8fjg #apple #microsoft"
"neutral","does anyone else get the 'milky white film of business' with Visual Studio? #vs2010 #microsoft"
"neutral","Increase your #twitter followers and or your #fan count via -http://bit.ly/qMc4K7"
"neutral","Dear @apple  as a hoh/deaf user  can you please add options for stronger and longer vibrate for #iphone4s ? Thank you! #hoh #deaf #ally"
"irrelevant","AsiaClassifiedToday: SE Asia and Singapore lead Asia Pacific region in business travel - Forimmedi... http://t.co/Jdvas9rH #asia #google"
"negative","As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad"
"positive","We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16"
"neutral","A New Landscape for Retail Banking: New report from #Efma with #Microsoft http://t.co/2XNz3F9C"
"neutral","Microsoft turns your body into a touchscreen http://t.co/8LbJuq4y #Microsoft"
"irrelevant","So viel zum Thema Retina Display :D Respekt an #Google und #Samsung  Super Amoled HD in 1280x720 auf einem Phone ist krass :D #GalaxyNexus"
"irrelevant","RT @Jadishmedia: La última campaña de Microsoft es una “sopa boba�? que vende todo y nada a la vez http://t.co/xOmLCEgl #marketing #microsoft"
"irrelevant","Με συγχισες #google σιχτι�?ια! Για αυτο κ ποτε δν θα δεχτω να δουλεψω σε σενα που να χτυπιεσαι :Ρ"
"irrelevant","RT @juank3946: Nueva #Consola #Xbox en curso: #LinkedIn http://t.co/VUzmZEzv #Microsoft #Xbox360 #Xbox720 #Twitter via @ZthaeDigital"
"neutral","@csg122 http://t.co/TBxLrvin Hopefully you check twitter often enough to find this article. :D #google #ICS"
"negative","Youtube video views are still not updating properly. #google #youtube #fail"
"neutral","@MrRobinson hard for balms to get excited over Android phones because #Microsoft isn't collecting enough royalties yet. #isaidit"
"irrelevant","#TeamFollowBack #TFB #MustFollow #MF #FollowNow #FN #FollowFriday #FF #IFB #Twitter #Follow @CocaCola_Korea @ThisIsDoyin_"
"negative","#WTF #Microsoft #sbs2008 #rww only works in #IE. #browserwars"
"neutral","CLOUD NEWS - Infosys boosts its cloud solution with Microsoft partnership - http://t.co/RNHzqjGR - @Infosys #cloud #microsoft #azure"
"neutral","RT @neon_ness: Yahoo Profit Drops 26 Per Cent! http://t.co/Jd3X8SGM #yahoo #microsoft"
"irrelevant","¿Quién dijo crisis? @Apple ha vendido 4 millones de unidades del #iPhone4S en sólo tres días"
"neutral","Get your #Twitter #marketing #campaigns built by an #SEO expert: http://t.co/7FttDde4"
"positive","Loved the Google release of Android OS 4.0 Ice Cream Sandwich! #Samsung #Android #Google #IceCreamSandwich #amazing!"
"neutral","Kanye West has added you to his circles. yeah  right. #galaxynexus #google #ics"
"positive","Just apply for a job at @Apple  hope they call me lol"
"neutral","RT: Collobrate and present. New version of Google presentations. http://t.co/xmF34T27 VIA @googledownunder #google #googlepresentations"
"neutral","I wanna RT a lot of tweets.. but my app won't work. What's the best #Twitter #App??"
"negative","RT @IAmDkT: The only letdown of the Samsung Galaxy Nexus phone is the 5.0 MP Camera. #ICS #Samsung #SamsungGalaxyNexus #SGN #Android #Google"
"neutral","#Google to stop giving referral data - by moving to #SSL? http://t.co/wTjiX29b"
"neutral","Thinking more  I want Android to do an iMessage service & for @Google & @Apple to interconnect. They would if the cared about their users."
"irrelevant","Rijk worden met patenten. In de smartphonewereld lopen 57 patentrechtszaken. De grote winnaar lijkt #Microsoft. http://t.co/owSkWPKG #patent"
"negative","One would think the voice recognition on the @apple tech support line would work a little better."
"neutral","On Google+ then go here http://t.co/5tbv933W #GPlus #Googleplus #Google #teamfollowback #socialnetwork"
"negative","@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??"
"neutral","@apple y u run out of 64gb iPhone!? Now I have to settle for 32gb. Saved 100$ though(:
"irrelevant","Samsung Galaxy Nexus officieel aangekondigd door #google en #samsung!"
"irrelevant","@GuySie Heb je gisteren Tros Radar gezien over Apple. Garantie werd niet nagekomen door @Apple en devices zeer snel kapot."
"neutral","RT @BatzayaB: #Google #Android Ice Cream Sandwich 4.0 (photos) http://t.co/XlJBYgIS"
"irrelevant","Ya ni en #Twitter estoy a salvo"
"positive","@ammmylewis... Did @CarsonFratus just ditch Twitter for sleep?? #Weirdo... #Twitter&gt;Sleep"
"neutral","YESSS @apple fix it also slow internet RT @SprintFeed: iPhone 4S owners are you having trouble with Siri connecting to internet?"
"negative","Android ice-cream sandwich's Face Unlock fails to perform recognition when demo'ed on stage :D
"irrelevant","Steve Ballmer  CEO de #Microsoft Necesitas ser un científico para manejar Android Gracias majo! Jajjajaa"
"positive","what i love about #GOOGLE it always shows me that am not the only retarded person on this planet when am searching for stupid things :D"
"neutral","@nansen @apple I have not heard of that. Hubby had no problems- I have not done it yet."
"irrelevant","Google+ to Support Pseudonyms http://t.co/ms1eBXpx #google+ #googlesocialmedia #googleventures #facebook #twitter #socialmediamarketing"
"neutral","Android Ice Cream Sandwich is out! #android #Google"
"positive","From which companies do you experience the best customer service aside from @zappos and @apple?"
"negative","Is #Microsoft just another evil corporation? Beware when it comes to buying a #Windows8 PC http://t.co/QbgXXJMm"
"neutral","Tired of those spammy Twitter DMs? http://t.co/atMIoMoO #twitter #spam"
"negative","#Apple eclipsed #Microsoft http://t.co/wEdPbcPx"
"positive","Loving #iOS5 !! #awesome @Apple"
"neutral","New post: Microsoft Windows 7 Home Premium http://t.co/FkruCQIs #Home #Microsoft #Premium"
"neutral","#twitter that's wassup ! lol!"
"neutral","RT @CRMStrategies: Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @phil ..."
"neutral","#twitter off"
"neutral","Big mo: In one week  @Apple #iCloud hits 20M users; 25M use #iOS 5 http://t.co/HTpUTBFK via @cnet"
"irrelevant","@sundaaay ja installera om appen så hoppas de räcker 
"neutral","Microsoft CEO says company got lucky when Yahoo deal fell apart #microsoft #steveballmer http://t.co/8fxt1ef8 #microsoft"
"irrelevant","Irgendwie dann doch enttäuschend  das neue #Google #Galaxy #Nexus"
"neutral","I wonder if I was to get at a celebrity's neck on #twitter. Will I be on the news or radio. #planForFame lmfao"
"neutral","Unwrapping Ice Cream Sandwich on the Galaxy Nexus http://t.co/9IvTJkit #Google"
"neutral","my phone is off......thank GOD.# FUCK SPRINT . IM ON #TWITTER 2NITE
"positive","Not impressed much with the new Android update. But good signs: a readable font  emphasis on design  and less nerdiness. #google"
"neutral","The way you can understand
"neutral","RememberiN wen @apple and @blackberry were just fruit
"negative","#Twitter.... Side Affects include: Procrastination  No Sleep  Unable to Focus on ANYTHING  Subtweeting  RT  TT  and Low Batteries"
"irrelevant","Non mais WTF !? RT @Twikito Google passe en HTTPS  un drame pour les statistiques http://t.co/gQIhDcEs #analytics #Google via @Zorgloob"
"irrelevant","me acabo de dar cuenta q tengo mas seguidores en #Twitter :D gracias y espero q sigan sumandoo mas y mas :D para seguir aun mas activo aki"
"irrelevant","@CarlosTolosa10 jajaja buscalo en #google y ve como esta jajaja"
"irrelevant","AsiaClassifiedToday: YHOO Q3 Conf Call: $20.4B Asian Assets  $19.5B Market Cap - Barron's (bl... http://t.co/nc7hVH84 #asia #google #ads"
"neutral","#google #galaxy #nexus  I WANT A PHONE PLEASE TALK ABOUT OTHER FEATURES NOW THE CAMERA IS ONLY ONE PART!"
"neutral","RT @AccessNetworks: We're waiting patiently for Google+ business pages. Anyone else wanting to jump on board? #avtweeps #google+ http:// ..."
"irrelevant","Abonnez vous @TunisieNews2011 et Suivez toute l' #actualité sur #Twitter | #Tunisie #TunisieNews #News"
"irrelevant","So ya my ITunes is in Japanese???
"irrelevant","AsiaClassifiedToday: Parkway Novena Hospital to offer premier healthcare service in Asia - The Bor... http://t.co/50KmorZm #asia #google"
"neutral","#Google Says ICS Is Coming To The #Nexus S And “Theoretically�? Should Work With 2.3 Devices http://t.co/TY0HDQAm"
"positive","Good support fm Kevin @apple #Bellevue store 4 biz customers TY!"
"positive","@RIM you made it too easy for me to switch to @Apple iPhone. See ya!"
"neutral","Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 23"
"irrelevant","Bob Harper: #BobHarper  #Bob #Harper http://t.co/hnAMTNzh #google #youtube"
"negative","I really hate that @apple won't let you hide the Newsstand app or move it into a folder. It serves no purpose for me."
"irrelevant","New mov: ショウケース@apple store 銀座 記録 / starring:ichiro_  REPEAT PATTERN  moda → http://t.co/kmJ0o1Ja"
"irrelevant","RT @Yonopienso_: RT @Anyelius12: RT @Yonopienso_: RT @Yvandavid: Que lo mataron por #Twitter ya RT @Yonopienso_: ¿Que le paso a Osmel?xD."
"irrelevant","#Google Google Event: Ice Cream Sandwich (Caschys Blog): ... Widgets lassen sich jetzt auch unter [...] XING-Pro... http://t.co/Ozqy3UG4"
"neutral","RT @jblank23: #Microsoft Turns Your Body Into A Touchscreen @PSFK: http://t.co/GMT9sLfN via @AddThis"
"positive","Loving the new iPod update @apple"
"neutral","@FastCompany - The Great Tech War Of 2012: @Apple  @Facebook  @Google  and @Amazon duking it out - http://t.co/HXsAlzPv via @ADerricks"
"neutral","How to use search folders to organise your emails in #Microsoft #Outlook - http://t.co/NuMm5N3U"
"neutral","Couldnt help it & explored the #iphone4s @apple store & talked to #Siri... Should've tried to speak to her in French?! #nexttime"
"neutral","macbreak weekly @TWiT via @apple airplay in full HD on the 42. finally! @leolaporte @Ihnatko @alexlindsay"
"irrelevant","Una video intervista con la #Microsoft per il protagonista dell'innovazione sei tu :-) http://t.co/hIgNHuTR"
"positive","#Google's #IceCreamSandwich was revealed. I'm getting an #Android whenever I get a new phone  but I'm keeping my #iPhone for now."
"irrelevant","RT @MizzSpicey: #TeamFollowBack #TFB #MustFollow #MF #FollowNow #FN #FollowFriday #FF #IFB #Twitter #Follow @Only1DeejayER &lt;&lt; oooh ..."
"positive","RT @ThatTechGuy92: LITERALLY HAD MY MIND BLOWN AWAY JUST NOW!!!!! #Google #Samsung"
"irrelevant","Sigue ah @KhrizJoohn  con su nueva cuenta en #Twitter"
"neutral","Cool Infographic: Perks working for the big techs like #Google & #Facebook | http://t.co/lNEgf7Kn"
"irrelevant","Porra mo0 cara que nao entro no #TWITTER mais um Salve pra vc's e amanha tem mais flllws pra quem fika  bora laah pra quem vai ksoaksopk"
"neutral","How do you get pink eye? #Google #autocomplete"
"irrelevant","Verzoek aan @apple voor iphone: koppel agenda aan bellen. Zo kun je in afspraak opgeslagen telnummer meteen aantikken en bellen. #thnx"
"neutral","#Google Docs #Updates Presentations With Real-Time #Collaboration  New Themes  Transitions and More [Updates] http://t.co/JWSPetbd"
"positive","@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri."
"negative","FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO."
"negative","Life was much easier when @apple and @BlackBerry were just fruits!"
"neutral","Tomorrow at #SAPTechEd Bangalore: #SAP & #Microsoft Building Apps for Both Worlds w #DuetEnterprise & #SAPGateway. http://t.co/te4NQmxN"
"positive","@BrandonMiniman @Jaime_Rivera I'm an iOs user but the #ICS is awesome  great job #google"
"neutral","#Google and #Samsung Reveals Galaxy Nexus Phone http://t.co/REnJ0C0Z #mobile #software #android #mobiledevice"
"positive","RT @ralphbin: #Microsoft Research shows #Holodesk - looks like science fiction  but is science fact http://t.co/w5OCrbpm  Cool but  no sound"
"negative","You can make photo albums in the Photos app with iOS 5  but can't password protect them? Um... @apple  fix that. Quickly."
"neutral","#Google announces NFC-based #Android Beam for sharing between phones"
"irrelevant","Michael Jackson Quiñonez  jugador de la Selección que está en los Panamericanos es TT tendencia mundial en #Twitter."
"irrelevant","paradão   no   #twitter"
"irrelevant","RT @twandroid Messagerie vocale directement dans ICS #google #nexusprime"
"irrelevant","Une seconde démo pour Sonic Generations !: Bien que Sonic Generations ne soit plus très loin... http://t.co/to7a2Eih #Microsoft #Xbox360"
"irrelevant","#1 #Google ranked funniest #FUNNY #tshirts on the net #Sushi #BarExam http://t.co/fXJyOZeV #lawschool #lawyers #SALE #humor #lawyers"
"positive","Dear #Google  I want the Galaxy Nexus NOW. Please send it to me by email or something - I know you have the technology"
"neutral","@Rich021 Thank you my friend!  Much appreciated and keep up the great work!  I hope you clean house on #Microsoft #Rewards here! #Retail"
"neutral","@Apple needs to take down the Steve Jobs tribute and get back to promoting the brand - put the Cloud on the front page and start explaining"
"positive","@bkad5161 than apologize to @apple ;)"
"neutral","Noticed how @apple has added the like & tweet icons on their page? http://t.co/PZoNZeC8 #like #facebook #tweet"
"neutral","GOODNITEE #TWITTER!!!"
"negative","Why is  #Siri always down @apple"
"neutral","RT @Charlielace: Instead of updating your #Twitter why don't you update your life!"
"irrelevant","каталог �?татей http://t.co/aNPOt4Cn Cерви�? реги�?трации в каталогах �?татей #seo #linkbuilding #backlinks #addurl #bookmarks #google"
"neutral","Check this video out -- moe. plays Live on iPads. Video dedicated in memory of #SteveJobs http://t.co/XSiyDnqu @ipad @mac @apple #brilliant"
"neutral","A Child’s-Eye View Of #Microsoft’s #Kinect For #Kids http://t.co/nzhbzzW3 via @TechCrunch"
"irrelevant","Realmente no se por que ponen cosas de #twitter en fb!! vv facebook es FB! Y twitter es TWITTER!! C'mon! vv"
